"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIPORTS",54,713.96,1401.9,38553.95,75702.6,37148.65,96.35,2.67,""
"BALRAMCHIN",16,667.63,475.95,10682.15,7615.2,-3066.95,-28.71,1.86,""
"BCG-BE",1498,21.45,9.17,32125.96,13736.66,-18389.3,-57.24,0.77,""
"BHEL",50,253.36,260.15,12668,13007.5,339.5,2.68,1.48,""
"CANBK",141,87.36,137.51,12318.1,19388.91,7070.81,57.4,0.68,""
"CIGNITITEC",20,1261.43,1109.5,25228.5,22190,-3038.5,-12.04,5.04,""
"CROMPTON",50,378.45,250.15,18922.25,12507.5,-6414.75,-33.9,0.6,""
"EMAMILTD",13,753.1,416.85,9790.25,5419.05,-4371.2,-44.65,-0.41,""
"ERIS",9,1348.51,1306.4,12136.6,11757.6,-379,-3.12,1.7,""
"GOLDBEES",358,59.89,127.91,21440.39,45791.78,24351.39,113.58,-0.24,""
"HDFCBANK",60,713.54,842.95,42812.1,50577,7764.9,18.14,-0.34,""
"JPPOWER",127,11.75,15,1491.8,1905,413.2,27.7,7.3,""
"LICI",27,719.93,785.85,19437.97,21217.95,1779.98,9.16,1.04,""
"LLOYDSENGG",110,18.3,43.25,2012.99,4757.5,2744.51,136.34,2.59,""
"MOTHERSON",110,117.27,117.75,12899.77,12952.5,52.73,0.41,1.55,""
"OIL",17,342.62,470.05,5824.6,7990.85,2166.25,37.19,-0.78,""
"PNB",1264,46.47,113.1,58743.25,142958.4,84215.15,143.36,0.85,""
"PSB",2200,31.43,23.51,69148.14,51722,-17426.14,-25.2,2.62,""
"RELIANCE",10,1332.58,1408.1,13325.8,14081,755.2,5.67,0.75,""
"SGBAUG29V-GB",10,4740,15380,47400,153800,106400,224.47,-0.5,""
"SGBDE31III",5,6149,15825,30745,79125,48380,157.36,-0.41,""
"SGBFEB29XI",4,4862,15275,19448,61100,41652,214.17,-0.81,""
"SGBMAY29I-GB",5,4727,15286.23,23635,76431.15,52796.15,223.38,-0.23,""
"SGBSEP29VI",6,4682,15280,28092,91680,63588,226.36,-0.44,""
"STARHEALTH",105,553.78,461.7,58147.3,48478.5,-9668.8,-16.63,0.98,""
"SUDARSCHEM",8,946.06,815.95,7568.5,6527.6,-1040.9,-13.75,3.5,""
"SUZLON",537,38.68,42.06,20769.52,22586.22,1816.7,8.75,1.91,""
"TATAPOWER",119,260.03,400.35,30943.65,47641.65,16698,53.96,-0.12,""
"TMCV",57,239.74,447.65,13665.12,25516.05,11850.93,86.72,1.29,""
"TMPV",67,510.95,324.55,34233.63,21744.85,-12488.78,-36.48,1.66,""
"UNOMINDA",8,1091.56,1075,8732.5,8600,-132.5,-1.52,2.05,""
"VEDL",28,450.6,679,12616.75,19012,6395.25,50.69,-2.91,""
